# Master klien PT Smart Home Inovasi (di-load generate_seed.py).
# Delimiter '|'. Baris diawali '#' atau kosong = diabaikan.
# Kolom: nama|tipe|alamat|telp|email|notes|lat|lon|maps_url|weight|favs
#   tipe   : developer hotel hospital bank govt mall warehouse factory campus school retail office fnb
#   weight : propensi jumlah proyek (retensi). Makin besar makin sering jadi pemilik proyek.
#   favs   : kategori proyek favorit, dipisah koma (instalasi security monitoring networking maintenance perbaikan upgrade lainnya)
#   maps_url: opsional. Kalau lat/lon kosong, koordinat di-parse dari URL (pola @lat,lon atau q=lat,lon).
# Edit bebas: tambah/hapus baris, tempel URL Google Maps asli (boleh kosongkan lat/lon lalu isi maps_url).
#
# ---- Developer / Properti (retensi tinggi) ----
PT Citra Raya Development|developer|Jl. Magelang Km 12, Sleman, Yogyakarta|0274-868123|proyek@citraraya.co.id|Developer perumahan premium kawasan Sleman. Kontrak payung 3 tahun, banyak cluster.|-7.7290|110.3640|https://www.google.com/maps?q=-7.7290,110.3640|18|instalasi,security,networking
PT Merapi View Properti|developer|Jl. Kaliurang Km 9, Sleman|0274-882456|info@merapiview.co.id|Pengembang cluster villa lereng Merapi. Rutin pasang smart home tiap unit.|-7.7050|110.4010|https://www.google.com/maps?q=-7.7050,110.4010|14|instalasi,security
PT Jogja Land Makmur|developer|Jl. Ring Road Selatan No. 45, Bantul|0274-441230|cs@jogjaland.co.id|Developer perumahan menengah. Volume tinggi unit standar.|-7.8420|110.3520|https://www.google.com/maps?q=-7.8420,110.3520|12|instalasi,networking,perbaikan
Casa Grande Residence|developer|Jl. Palagan Tentara Pelajar Km 8, Sleman|0274-867900|sales@casagrande-jogja.com|Township premium. Smart cluster + CCTV kawasan.|-7.7180|110.3880|https://www.google.com/maps?q=-7.7180,110.3880|10|instalasi,security,monitoring
Apartemen Mataram City|developer|Jl. Palagan Tentara Pelajar, Sleman|0274-887766|building@mataramcity.com|Apartemen premium. Smart unit + BMS tower.|-7.7350|110.3850|https://www.google.com/maps?q=-7.7350,110.3850|9|instalasi,monitoring,security
Villa Kaliurang Estate|developer|Jl. Kaliurang Km 22, Sleman|0274-895100|estate@villakaliurang.com|Pengelola villa wisata. Smart lock + CCTV unit sewa.|-7.6500|110.4220|https://www.google.com/maps?q=-7.6500,110.4220|6|instalasi,security,maintenance
PT Graha Sejahtera Land|developer|Jl. Godean Km 5, Sleman|0274-621870|marketing@grahasejahtera.co.id|Perumahan subsidi & komersial. Smart switch paket hemat.|-7.7780|110.3300|https://www.google.com/maps?q=-7.7780,110.3300|8|instalasi,networking,perbaikan
# ---- Hotel (retensi tinggi: instalasi + maintenance berulang) ----
Hotel Tentrem Yogyakarta|hotel|Jl. AM Sangaji No. 72A, Yogyakarta|0274-6415555|engineering@hoteltentrem.com|Hotel bintang 5. Smart lighting + BMS + CCTV area publik.|-7.7780|110.3660|https://www.google.com/maps?q=-7.7780,110.3660|11|instalasi,security,monitoring,maintenance
Royal Ambarrukmo Hotel|hotel|Jl. Laksda Adisucipto No. 81, Yogyakarta|0274-488488|eng@royalambarrukmo.com|Hotel heritage bintang 5. Rutin maintenance + upgrade.|-7.7830|110.4030|https://www.google.com/maps?q=-7.7830,110.4030|9|maintenance,security,upgrade
Grand Aston Yogyakarta|hotel|Jl. Urip Sumoharjo No. 37, Yogyakarta|0274-566999|engineering@grandaston-jogja.com|Hotel bisnis bintang 5. Smart room + monitoring energi.|-7.7840|110.3760|https://www.google.com/maps?q=-7.7840,110.3760|8|instalasi,monitoring,maintenance
Hotel Melia Purosani|hotel|Jl. Mayor Suryotomo No. 31, Yogyakarta|0274-589521|eng@meliapurosani.com|Hotel bintang 5 pusat kota. Smart lighting + CCTV.|-7.7970|110.3700|https://www.google.com/maps?q=-7.7970,110.3700|7|instalasi,security,maintenance
Hotel Marriott Yogyakarta|hotel|Jl. Ringroad Utara, Maguwoharjo, Sleman|0274-2806999|engineering@marriott-jogja.com|Hotel bintang 5. BMS + access control + CCTV.|-7.7610|110.4180|https://www.google.com/maps?q=-7.7610,110.4180|8|instalasi,security,monitoring,maintenance
